measured_paint_id,measured_name,brand,best_db_paint_id,best_db_name,score,resolved_db_paint_id
army-painter-wph-paratrooper-tan,/ WPH Paratrooper Tan,Army Painter,army-painter-paratrooper-tan,Paratrooper Tan,0.882,
army-painter-wph-leather-brown,/ WPH Leather Brown,Army Painter,army-painter-leather-brown,Leather Brown,0.867,
army-painter-wph-matt-white,/ WPH Matt White,Army Painter,army-painter-matt-white,Matt White,0.833,
army-painter-wph-matt-black,/ WPH Matt Black,Army Painter,army-painter-matt-black,Matt Black,0.833,
army-painter-boot-brown,Boot Brown,Army Painter,army-painter-bootstrap-brown,Bootstrap Brown,0.800,
army-painter-camo-brown,Camo Brown,Army Painter,army-painter-oak-brown,Oak Brown,0.737,
army-painter-fair-skin,Fair Skin,Army Painter,army-painter-pearl-skin,Pearl Skin,0.737,
army-painter-dark-olive,Dark Olive,Army Painter,army-painter-dark-tone,Dark Tone,0.737,
army-painter-jb-heavy-metal,JB Heavy Metal,Army Painter,army-painter-death-metal,Death Metal,0.710,
army-painter-gun-metal-wph-steel,Gun Metal (= WPH Steel),Army Painter,army-painter-gun-metal,Gun Metal,0.706,
army-painter-rifle-brown,Rifle Brown,Army Painter,army-painter-fur-brown,Fur Brown,0.700,
army-painter-webbing-green,Webbing Green,Army Painter,army-painter-wild-green,Wild Green,0.696,
army-painter-jb-tainted-garden,JB Tainted Garden,Army Painter,army-painter-tainted-gold,Tainted Gold,0.690,
army-painter-barbarian-flesh-wph-rosy-skin,Barbarian Flesh (= WPH Rosy Skin),Army Painter,army-painter-barbarian-flesh,Barbarian Flesh,0.682,
army-painter-jb-fiery-vermilion,JB Fiery Vermilion,Army Painter,army-painter-violent-vermillion,Violent Vermillion,0.667,
army-painter-camo-sand,Camo Sand,Army Painter,army-painter-pale-sand,Pale Sand,0.667,
army-painter-pa-tan-flesh,PA Tan Flesh,Army Painter,army-painter-barbarian-flesh,Barbarian Flesh,0.667,
army-painter-strap-grey,Strap Grey,Army Painter,army-painter-ash-grey,Ash Grey,0.667,
army-painter-german-camo-green,German Camo Green,Army Painter,army-painter-guardian-green,Guardian Green,0.645,
army-painter-dark-battle-dress,Dark Battle Dress,Army Painter,army-painter-dark-blue-tone,Dark Blue Tone,0.645,
army-painter-jb-ironclad-grey,JB Ironclad Grey,Army Painter,army-painter-brigade-grey,Brigade Grey,0.643,
army-painter-jb-ruddy-terra,JB Ruddy Terra,Army Painter,army-painter-ruddy-umber,Ruddy Umber,0.640,
army-painter-tanker-grey,Tanker Grey,Army Painter,army-painter-angel-green,Angel Green,0.636,
army-painter-jb-banshee-brown,JB Banshee Brown,Army Painter,army-painter-brigandine-brown,Brigandine Brown,0.625,
army-painter-jb-blanched-berry,JB Blanched Berry,Army Painter,army-painter-mulled-berry,Mulled Berry,0.621,
army-painter-imperial-navy-wph-ensign-blue,Imperial Navy (= WPH Ensign Blue),Army Painter,army-painter-imperial-navy,Imperial Navy,0.619,
army-painter-jb-blighted-green,JB Blighted Green,Army Painter,army-painter-glittering-green,Glittering Green,0.606,
army-painter-british-camo-green,British Camo Green,Army Painter,army-painter-scarab-green,Scarab Green,0.600,
army-painter-light-feldgrau,Light Feldgrau,Army Painter,army-painter-light-tone,Light Tone,0.583,
army-painter-medium-drab,Medium Drab,Army Painter,army-painter-doomfire-drab,Doomfire Drab,0.583,
army-painter-shadow-thorn,Shadow Thorn,Army Painter,army-painter-soft-tone,Soft Tone,0.571,
army-painter-jb-bramble-grove,JB Bramble Grove,Army Painter,army-painter-brigade-grey,Brigade Grey,0.571,
army-painter-olive-drab-wph-light-grab,Olive Drab (= WPH Light Grab),Army Painter,army-painter-olive-drab,Olive Drab,0.571,
army-painter-jb-midnight-olive,JB Midnight Olive,Army Painter,army-painter-bright-gold,Bright Gold,0.571,
army-painter-light-battle-dress,Light Battle Dress,Army Painter,army-painter-light-tone,Light Tone,0.571,
army-painter-scarab-green-wph-commando-green,Scarab Green (= WPH Commando Green),Army Painter,army-painter-scarab-green,Scarab Green,0.558,
army-painter-jb-frostveil,JB Frostveil,Army Painter,army-painter-frost-blue,Frost Blue,0.545,
army-painter-jb-skyshard,JB Skyshard,Army Painter,army-painter-dark-skin-shade,Dark Skin Shade,0.538,
army-painter-webbing-khaki,Webbing Khaki,Army Painter,army-painter-command-khaki,Command Khaki,0.538,
army-painter-jb-emperor-gold,JB Emperor Gold,Army Painter,army-painter-bright-gold,Bright Gold,0.538,
army-painter-beret-maroon,Beret Maroon,Army Painter,army-painter-forest-faun,Forest Faun,0.522,
army-painter-jb-blood-thorn,JB Blood Thorn,Army Painter,army-painter-blue-tone,Blue Tone,0.522,
army-painter-jb-umberroot,JB Umberroot,Army Painter,army-painter-ruddy-umber,Ruddy Umber,0.522,
army-painter-jb-moonpetal,JB Moonpetal,Army Painter,army-painter-cobalt-metal,Cobalt Metal,0.519,
army-painter-dark-drab-dark-feldgrau,Dark Drab / Dark Feldgrau,Army Painter,army-painter-dark-emerald,Dark Emerald,0.514,
army-painter-agate-skin-wph-weathered-skin,Agate Skin (= WPH Weathered Skin),Army Painter,army-painter-agate-skin,Agate Skin,0.513,
army-painter-jb-emberveil,JB Emberveil,Army Painter,army-painter-dark-emerald,Dark Emerald,0.500,
army-painter-jb-the-darkness,JB The Darkness,Army Painter,army-painter-dark-tone,Dark Tone,0.500,
army-painter-mid-feldgrau,Mid Feldgrau,Army Painter,army-painter-weird-elixir,Weird Elixir,0.500,
army-painter-jb-thicket-grove,JB Thicket Grove,Army Painter,army-painter-brigade-grey,Brigade Grey,0.500,
army-painter-jb-ivory-white,JB Ivory White,Army Painter,army-painter-matt-white,Matt White,0.500,
army-painter-canvas,Canvas,Army Painter,army-painter-carnelian-skin,Carnelian Skin,0.500,
army-painter-jb-sunburst-ochre,JB Sunburst Ochre,Army Painter,army-painter-burning-ore,Burning Ore,0.500,
army-painter-mud-splatter,Mud Splatter,Army Painter,army-painter-temple-gate-teal,Temple Gate Teal,0.500,
army-painter-jb-gladeshard,JB Gladeshard,Army Painter,army-painter-brigade-grey,Brigade Grey,0.480,
army-painter-mid-battle-dress,Mid Battle Dress,Army Painter,army-painter-demigod-flames,Demigod Flames,0.467,
army-painter-jb-hearthborn,JB Hearthborn,Army Painter,army-painter-leather-brown,Leather Brown,0.462,
army-painter-jb-ashroot,JB Ashroot,Army Painter,army-painter-ash-grey,Ash Grey,0.444,
army-painter-jb-iceborn,JB Iceborn,Army Painter,army-painter-blood-chalice,Blood Chalice,0.435,
army-painter-jb-dewpath,JB Dewpath,Army Painter,army-painter-death-metal,Death Metal,0.417,
army-painter-pure-red-wph-flag-red-command-red,Pure Red (= WPH Flag Red / Command Red),Army Painter,army-painter-pure-red,Pure Red,0.390,
army-painter-jb-rootpath,JB Rootpath,Army Painter,army-painter-paratrooper-tan,Paratrooper Tan,0.385,
citadel-the-fang,The Fang,Citadel,citadel-the-fang-grey,The Fang Grey,0.762,
citadel-corax-white,Corax White,Citadel,citadel-praxeti-white,Praxeti White,0.750,
citadel-orruk-flesh,Orruk Flesh,Citadel,citadel-ungor-flesh,Ungor Flesh,0.727,
citadel-nocturne-green,Nocturne Green,Citadel,citadel-sotek-green,Sotek Green,0.720,
citadel-vulkan-green,Vulkan Green,Citadel,citadel-caliban-green,Caliban Green,0.720,
citadel-bloodreaver-flesh,Bloodreaver Flesh,Citadel,citadel-eldar-flesh,Eldar Flesh,0.714,
citadel-deepkin-flesh,Deepkin Flesh,Citadel,citadel-ratskin-flesh,Ratskin Flesh,0.692,
citadel-catachan-flesh,Catachan Flesh,Citadel,citadel-waaagh-flesh,Waaagh! Flesh,0.692,
citadel-thondia-brown,Thondia Brown,Citadel,citadel-gorthor-brown,Gorthor Brown,0.692,
citadel-word-bearers-red,Word Bearers Red,Citadel,citadel-wild-rider-red,Wild Rider Red,0.667,
citadel-night-lords-blue,Night Lords Blue,Citadel,citadel-kantor-blue,Kantor Blue,0.667,
citadel-lupercal-green,Lupercal Green,Citadel,citadel-caliban-green,Caliban Green,0.667,
citadel-iron-hands-steel,Iron Hands Steel,Citadel,citadel-runefang-steel,Runefang Steel,0.667,
citadel-castallax-bronze,Castallax Bronze,Citadel,citadel-sycorax-bronze,Sycorax Bronze,0.667,
citadel-knight-questor-flesh,Knight- Questor Flesh,Citadel,citadel-bestigor-flesh,Bestigor Flesh,0.647,
citadel-morghast-bone,Morghast Bone,Citadel,citadel-ushabti-bone,Ushabti Bone,0.640,
citadel-gal-vorbak-red,Gal Vorbak Red,Citadel,citadel-astorath-red,Astorath Red,0.615,
citadel-perisher-pink,Perisher Pink,Citadel,citadel-screamer-pink,Screamer Pink,0.615,
citadel-hobgrot-hide,Hobgrot Hide,Citadel,citadel-rhinox-hide,Rhinox Hide,0.609,
citadel-corvus-black,Corvus Black,Citadel,citadel-chronus-blue,Chronus Blue,0.583,
citadel-phoenician-purple,Phoenician Purple,Citadel,citadel-fenrisian-grey,Fenrisian Grey,0.581,
citadel-wraithbone,Wraithbone,Citadel,citadel-karak-stone,Karak Stone,0.571,
citadel-sons-of-horus-green,Sons of Horus Green,Citadel,citadel-moot-green,Moot Green,0.552,
citadel-death-korps-drab,Death Korps Drab,Citadel,citadel-death-guard-green,Death Guard Green,0.545,
citadel-kakophoni-purple,Kakophoni Purple,Citadel,citadel-khorne-red,Khorne Red,0.538,
citadel-canoptek-alloy,Canoptek Alloy,Citadel,citadel-casandora-yellow,Casandora Yellow,0.533,
citadel-grey-knights-steel,Grey Knights Steel,Citadel,citadel-drakenhof-nightshade,Drakenhof Nightshade,0.526,
citadel-ionrach-skin,Ionrach Skin,Citadel,citadel-ironbreaker,Ironbreaker,0.522,
citadel-grey-seer,Grey Seer,Citadel,citadel-agrellan-earth,Agrellan Earth,0.522,
citadel-barak-nar-burgundy,Barak-nar Burgundy,Citadel,citadel-balthasar-gold,Balthasar Gold,0.500,
citadel-iron-warriors,Iron Warriors,Citadel,citadel-ironbreaker,Ironbreaker,0.500,
vallejo-model-light-orange,Light Orange,Vallejo,vallejo-model-color-bright-orange,Bright Orange,0.880,
vallejo-model-intermediate-green,Intermediate Green,Vallejo,vallejo-model-color-intermediate-green-fern,Intermediate Green Fern,0.878,
vallejo-model-bc-dark-brown,BC Dark Brown,Vallejo,vallejo-model-wash-dark-brown,Dark Brown,0.870,
vallejo-model-infantry-blue,Infantry Blue,Vallejo,vallejo-model-color-infantry-blue-sky,Infantry Blue Sky,0.867,
vallejo-model-german-orange,German Orange,Vallejo,vallejo-model-color-german-orange-old,German Orange Old,0.867,
vallejo-model-light-blue-green,Light Blue Green,Vallejo,vallejo-model-color-light-blue-green-blue,Light Blue Green Blue,0.865,
vallejo-model-light-green-blue,Light Green Blue,Vallejo,vallejo-model-color-light-blue-green-blue,Light Blue Green Blue,0.865,
vallejo-model-cam-middle-brown,Cam. Middle Brown,Vallejo,vallejo-model-color-cam-middle-brownburnt,Cam. Middle BrownBurnt,0.865,
vallejo-model-park-green-flat,Park Green Flat,Vallejo,vallejo-model-color-park-green-flat-deep,Park Green Flat Deep,0.857,
vallejo-model-lime-green,Lime Green,Vallejo,vallejo-model-wash-olive-green,Olive Green,0.857,
vallejo-model-sand-yellow,Sand Yellow,Vallejo,vallejo-game-color-sun-yellow,Sun Yellow,0.857,
vallejo-model-violet-grey,Violet Grey,Vallejo,vallejo-model-color-violet-red,Violet Red,0.857,
vallejo-model-black-grey,Black Grey,Vallejo,vallejo-game-color-black-green,Black Green,0.857,
vallejo-model-med-flesh-tone,Med. Flesh Tone,Vallejo,vallejo-model-color-med-flesh-tone-light,Med. Flesh Tone Light,0.850,
vallejo-model-dark-vermilion,Dark Vermilion,Vallejo,vallejo-model-color-dark-vermilion-flat,Dark Vermilion Flat,0.848,
vallejo-model-splinter-green,Splinter Green,Vallejo,vallejo-model-color-splinter-green-park,Splinter Green Park,0.848,
vallejo-model-chestnut-brown,Chestnut Brown,Vallejo,vallejo-model-color-chestnut-brown-flat,Chestnut Brown Flat,0.848,
vallejo-model-carmine-red,Carmine Red,Vallejo,vallejo-model-color-carmine-red-red,Carmine Red Red,0.846,
vallejo-model-continental-blue,Continental Blue,Vallejo,vallejo-model-color-continental-blue-light,Continental Blue Light,0.842,
vallejo-model-blue-green,Blue Green,Vallejo,vallejo-model-wash-blue-grey,Blue Grey,0.842,
vallejo-model-prussian-blue,Prussian Blue,Vallejo,vallejo-model-color-prussian-blue-dark,Prussian Blue Dark,0.839,
vallejo-model-german-yellow,German Yellow,Vallejo,vallejo-model-color-german-yellow-dark,German Yellow Dark,0.839,
vallejo-model-dark-prussian-blue,Dark Prussian Blue,Vallejo,vallejo-model-color-dark-prussian-blue-pastel,Dark Prussian Blue Pastel,0.837,
vallejo-model-ger-field-grey-wwii,Ger. Field- grey WWII,Vallejo,vallejo-model-color-ger-fieldgrey-wwiigerman,Ger. Fieldgrey WWIIGerman,0.837,
vallejo-model-orange-brown,Orange Brown,Vallejo,vallejo-game-color-grunge-brown,Grunge Brown,0.833,
vallejo-model-dark-sea-green,Dark Sea Green,Vallejo,vallejo-game-color-dark-green,Dark Green,0.833,
